기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
LG유플러스,2024-12-18,,취소,기획조정1팀,한보라,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6762936681862b5afd267896/download, https://task-api.office.hiworks.com/v1/attached-files/6762936681862b5afd267897/download"
BGF로지스,2024-11-14,2025-01-08,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67639638e56e9119ec09ad03/download, https://task-api.office.hiworks.com/v1/attached-files/67639638e56e9119ec09ad04/download"
한국존슨앤드존슨 비젼케어,2024-12-19,2025-01-08,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,디자인 요청,"https://task-api.office.hiworks.com/v1/attached-files/6764bfe4e56e9119ec09b82e/download, https://task-api.office.hiworks.com/v1/attached-files/676a02f5e56e9119ec09d73d/download"
언레스,2024-12-23,2024-12-27,진행 완료,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/676c9fbae56e9119ec09e3e9/download, https://task-api.office.hiworks.com/v1/attached-files/676c9fbae56e9119ec09e3ea/download"
마이블미디어,2024-12-24,,취소,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/676d0912e56e9119ec09ebd2/download, https://task-api.office.hiworks.com/v1/attached-files/676d0912e56e9119ec09ebd3/download"
사단법인 점프,2024-12-26,,취소,기획조정2팀,송경은,카카오톡,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6771db34d303f773dc31d4a7/download, https://task-api.office.hiworks.com/v1/attached-files/6771db3cf298f42c44280049/download"
휴메딕스,2024-12-26,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67725adfd303f773dc31db40/download, https://task-api.office.hiworks.com/v1/attached-files/67725ae5f298f42c442807a1/download"
KB라이프생명보험,2024-12-27,2025-01-10,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6772044cd303f773dc31d737/download, https://task-api.office.hiworks.com/v1/attached-files/677dff5d59f8bf5aecdc772c/download"
모빌코리아윤활유,2024-12-31,2025-01-07,진행 완료,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6776474ed303f773dc31f8ee/download, https://task-api.office.hiworks.com/v1/attached-files/6776474ed303f773dc31f8ef/download"
공주대학교 모빌리티소부장사업단,2025-01-02,2025-01-13,진행 완료,기획조정2팀,송경은,전화,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6780ba287c4bcc4aa1bb86da/download, https://task-api.office.hiworks.com/v1/attached-files/6780ba432330914bab9e5f56/download, https://task-api.office.hiworks.com/v1/attached-files/6780ba487c4bcc4aa1bb86de/download"
(주)엠아이텍,2025-01-02,,취소,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67772ae1f298f42c44282a73/download, https://task-api.office.hiworks.com/v1/attached-files/67772ae1f298f42c44282a74/download"
(주)테크베이스,2025-01-02,2025-03-26,진행 완료,기획조정1팀,이서호,전화,요청 없음,요청 없음,
스와로브스키,2025-01-03,,취소,기획조정팀,"김송희, 안광열",홈페이지,요청 없음,,
서울특별시 아리수본부,2025-01-03,,연기,기획조정1팀,"한보라, 이서호",전화,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6791b0309c52e301268d3423/download, https://task-api.office.hiworks.com/v1/attached-files/6791b0309c52e301268d3424/download, https://task-api.office.hiworks.com/v1/attached-files/6791b0309c52e301268d3425/download, https://task-api.office.hiworks.com/v1/attached-files/6791b0309c52e301268d3426/download"
디자인그린,2025-01-03,,취소,기획조정1팀,이서호,홈페이지,,,https://task-api.office.hiworks.com/v1/attached-files/67907c703dc638790d569625/download
(주)엠투컴,2025-01-03,2025-02-05,진행 완료,기획조정팀,"안광열, 김송희",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/677cc2861ef740017d2a52d8/download, https://task-api.office.hiworks.com/v1/attached-files/677cc2861ef740017d2a52d9/download, https://task-api.office.hiworks.com/v1/attached-files/677cc2861ef740017d2a52da/download"
(주)인커뮤니케이션코리아,2025-01-03,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/677e17c859f8bf5aecdc78f7/download, https://task-api.office.hiworks.com/v1/attached-files/677e17cc3cb76e5d349cbe63/download"
BGF로지스,2025-01-06,2025-02-27,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,
서울특별시,2025-01-06,,진행 완료,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/677cc26f1ef740017d2a52d2/download, https://task-api.office.hiworks.com/v1/attached-files/677cc26f1ef740017d2a52d3/download, https://task-api.office.hiworks.com/v1/attached-files/67889dcf2330914bab9ea9ee/download, https://task-api.office.hiworks.com/v1/attached-files/67889dcf2330914bab9ea9ef/download"
(유)디오니,2025-01-07,,취소,기획조정1팀,한보라,전화,요청 없음,요청 없음,
동원리더스아카데미,2025-01-07,,취소,기획조정팀,"안광열, 김송희",전화,,,"https://task-api.office.hiworks.com/v1/attached-files/677de52659f8bf5aecdc75be/download, https://task-api.office.hiworks.com/v1/attached-files/677de52659f8bf5aecdc75bf/download, https://task-api.office.hiworks.com/v1/attached-files/677f28b07c4bcc4aa1bb6b16/download, https://task-api.office.hiworks.com/v1/attached-files/677f28b07c4bcc4aa1bb6b17/download"
삼성에스디에스,2025-01-07,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/677df68e59f8bf5aecdc7694/download, https://task-api.office.hiworks.com/v1/attached-files/677df6903cb76e5d349cb9cf/download"
에르메스,2025-01-09,2025-02-17,진행 완료,기획조정팀,안광열,개인,요청 없음,요청 없음,https://task-api.office.hiworks.com/v1/attached-files/67da64837a7c482d6e54b80d/download
오가닉서라운딩,2025-01-09,,취소,기획조정1팀,이서호,카카오톡,요청 없음,요청 없음,
한화생명,2025-01-10,,연기,기획조정1팀,이서호,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67907c3e3dc638790d569620/download, https://task-api.office.hiworks.com/v1/attached-files/67907c3e3dc638790d569621/download"
LG CNS,2025-01-10,2025-04-24,진행 완료,기획조정1팀,이서호,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6792ea959c52e301268d4134/download, https://task-api.office.hiworks.com/v1/attached-files/6792ea959c52e301268d4135/download"
셈프레앤,2025-01-02,,취소,기획조정1팀,이서호,카카오톡,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6780c3712330914bab9e602b/download, https://task-api.office.hiworks.com/v1/attached-files/6780c3712330914bab9e602c/download"
콘바텍 코리아,2025-01-10,,취소,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,
공주대학교 모빌리티소부장사업단(2),2025-01-13,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6789f64f2ee55916bbb5ae6b/download, https://task-api.office.hiworks.com/v1/attached-files/6789f656b20f520ca0caad43/download"
부산광역시 정신건강복지센터,2025-01-13,,취소,기획조정1팀,한보라,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6787050d2330914bab9e92bb/download, https://task-api.office.hiworks.com/v1/attached-files/6787050d2330914bab9e92bc/download"
에스아이그룹건축사사무소,2025-01-13,,연기,기획조정1팀,이서호,홈페이지,,,
피아트,2025-01-14,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6789f620b20f520ca0caad3b/download, https://task-api.office.hiworks.com/v1/attached-files/6789f623b20f520ca0caad3e/download"
컨벤션법인 이오컨벡스,2025-01-15,,취소,기획조정1팀,"이서호, 한보라",개인,요청 없음,,"https://task-api.office.hiworks.com/v1/attached-files/67907b593dc638790d5695e0/download, https://task-api.office.hiworks.com/v1/attached-files/67907b593dc638790d5695e1/download"
메리츠화재,2025-01-15,,취소,기획조정1팀,"한보라, 이서호",홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/678eedf336af4a1491d48acf/download, https://task-api.office.hiworks.com/v1/attached-files/678eedf336af4a1491d48ad0/download"
재단법인 장수군애향교육진흥재단,2025-01-15,2025-02-18,진행 완료,기획조정팀,"안광열, 김송희",홈페이지,,,https://task-api.office.hiworks.com/v1/attached-files/6788c9b9b20f520ca0ca9cc3/download
SK 바이오사이언스,2025-01-16,,취소,기획조정팀,"김송희, 안광열",카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/678879032330914bab9ea790/download, https://task-api.office.hiworks.com/v1/attached-files/678879032330914bab9ea791/download"
콘래드 서울,2025-01-17,2025-03-12,진행 완료,기획조정팀,"김송희, 안광열",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/678f3ca61f306216ac4894af/download, https://task-api.office.hiworks.com/v1/attached-files/678f3ca61f306216ac4894b0/download, https://task-api.office.hiworks.com/v1/attached-files/67aab31764076102f99b0e19/download, https://task-api.office.hiworks.com/v1/attached-files/67aab31764076102f99b0e1a/download"
ABL생명,2025-01-17,,취소,기획조정2팀,송경은,전화,,,
강동경희대학교병원,2025-01-17,,취소,기획조정1팀,이서호,카카오톡,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/679092677ea26710f25939fa/download, https://task-api.office.hiworks.com/v1/attached-files/679092677ea26710f25939fb/download"
ABC행복학습타운,2025-01-17,,취소,기획조정2팀,송경은,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/678df5b636af4a1491d47f74/download, https://task-api.office.hiworks.com/v1/attached-files/678df5bf36af4a1491d47f76/download"
한국자동차연구원,2025-01-20,2025-02-06,진행 완료,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/678df0f636af4a1491d47ed9/download, https://task-api.office.hiworks.com/v1/attached-files/678df0f636af4a1491d47eda/download"
lsj global,2025-01-20,,취소,기획조정1팀,이서호,카카오톡,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67907c233dc638790d56961c/download, https://task-api.office.hiworks.com/v1/attached-files/67907c233dc638790d56961d/download"
한국수력원자력,2025-01-20,2025-02-27,진행 완료,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67a5b07d337ddf323ed21da0/download, https://task-api.office.hiworks.com/v1/attached-files/67a5b0869c52e301268dd2a0/download"
블라인드문의,2025-01-08,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,
Amazon Web Services,2025-01-21,,취소,기획조정2팀,송경은,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/679c7ea0291bb66b176a8cae/download, https://task-api.office.hiworks.com/v1/attached-files/679c7ea29c52e301268d6b0f/download"
