기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
건설공인시험연구원(주),2025-07-17,2025-09-18,취소,기획조정1팀,"조민채, 이우진",홈페이지,,,
휴고보스코리아,2025-07-18,2025-07-21,취소,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6879d2cd378ac262c3d21da3/download, https://task-api.office.hiworks.com/v1/attached-files/6879d2cd378ac262c3d21da4/download"
한국수력원자력(7월 23일),2025-06-19,2025-07-23,진행 완료,기획조정팀,안광열,,,,
경기테크노파크,2025-07-21,2025-09-18,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/687dea73378ac262c3d22ae0/download, https://task-api.office.hiworks.com/v1/attached-files/687dea73378ac262c3d22ae1/download"
레드캡마이스,2025-07-21,2025-08-08,취소,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68817d7e1a9ced239ceea13d/download, https://task-api.office.hiworks.com/v1/attached-files/68817d7e1a9ced239ceea13e/download"
에드튤킷디자인연구소,2025-07-21,2025-09-10,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/687f5a0f80544566868c4bf8/download, https://task-api.office.hiworks.com/v1/attached-files/687f5a0f80544566868c4bf9/download"
D&O,2025-07-22,,취소,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6886c925c9b2fb6e571abcaf/download, https://task-api.office.hiworks.com/v1/attached-files/6886c925c9b2fb6e571abcb0/download"
퀄컴,2025-07-21,2025-08-01,진행 완료,기획조정2팀,문서인,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/687f1fad80544566868c4796/download, https://task-api.office.hiworks.com/v1/attached-files/687f1fad80544566868c4797/download"
(주)씨유메디칼시스템(조직 갈등),2025-07-22,2025-09-03,진행 완료,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68804730378ac262c3d239ad/download, https://task-api.office.hiworks.com/v1/attached-files/68804730378ac262c3d239ae/download"
미디어로그,2025-07-22,2025-09-18 15:00,진행 완료,기획조정2팀,문서인,카카오톡,공간 결제 완료,,"https://task-api.office.hiworks.com/v1/attached-files/68ba4447919ff27206c423c4/download, https://task-api.office.hiworks.com/v1/attached-files/68c7c7bc6e99c21525d02857/download"
농협손해보험,2025-05-22,2025-11-17,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68cb913dcc84252da2001dd5/download, https://task-api.office.hiworks.com/v1/attached-files/68cb913dcc84252da2001dd6/download"
어플라이드머티어리얼즈코리아,2025-07-23,,연기,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6881777493d7513d5b15545e/download, https://task-api.office.hiworks.com/v1/attached-files/6881777c1c3ca77b88c36beb/download"
리인터내셔널 특허법률사무소,2025-07-24,2025-08-29,진행 완료,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6886c94c1a9ced239ceeb78f/download, https://task-api.office.hiworks.com/v1/attached-files/6886c94c1a9ced239ceeb790/download"
인튜이티브서지컬코리아,2025-07-24,2025-08-05,진행 완료,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68871654c9b2fb6e571ac0c4/download, https://task-api.office.hiworks.com/v1/attached-files/68871654c9b2fb6e571ac0c5/download"
중소기업중앙회,2025-07-24,2025-09-18,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68a7d32161458034827dc4cc/download, https://task-api.office.hiworks.com/v1/attached-files/68a7d336711b193567e1c93f/download"
yh데이타베이스,2025-07-24,,취소,기획조정2팀,문서인,홈페이지,,,
세아창원특수강(2차수),2025-07-25,2025-10-21,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/688826d3de2ccb7ad507eab5/download, https://task-api.office.hiworks.com/v1/attached-files/688826d8de2ccb7ad507eab7/download"
한국환경산업기술원,2025-07-28,2025-08-06,취소,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68871a7b378ac262c3d2729d/download, https://task-api.office.hiworks.com/v1/attached-files/68871a7b378ac262c3d2729e/download"
씨앤이투어,2025-07-28,2025-11-11,취소,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/688b0a211a9ced239ceeda50/download, https://task-api.office.hiworks.com/v1/attached-files/688b0a211a9ced239ceeda51/download"
스튜디오좋,2025-07-29,2025-11-27,진행 완료,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4ef901ed3e41f33d02dcb/download, https://task-api.office.hiworks.com/v1/attached-files/68b4ef94d9049d1a9e29443f/download"
유클릭,2025-07-29,,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/688abe9a378ac262c3d28b06/download, https://task-api.office.hiworks.com/v1/attached-files/688abe9a378ac262c3d28b07/download"
이천시,2025-07-30,,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/688b32e0c9b2fb6e571adf77/download, https://task-api.office.hiworks.com/v1/attached-files/688b32e0c9b2fb6e571adf78/download"
컴투스플랫폼,2025-07-29,2025-09-05,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6889d858c9b2fb6e571ad55e/download, https://task-api.office.hiworks.com/v1/attached-files/6889d85cc9b2fb6e571ad562/download"
뉴콘텐츠기업지원센터,2025-07-30,2025-08-28,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/688b0a031a9ced239ceeda4c/download, https://task-api.office.hiworks.com/v1/attached-files/688b0a031a9ced239ceeda4d/download"
우아한형제들 학습문화팀,2025-07-31,,취소,기획조정팀,안광열,홈페이지,,,
아트앤디자인인터내셔널,2025-07-29,2025-09-18,취소,기획조정2팀,문서인,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/688b16961c3ca77b88c3a6e5/download, https://task-api.office.hiworks.com/v1/attached-files/688b1698378ac262c3d28f43/download"
다온비에스,2025-07-31,2025-11-06,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68a40ecf61458034827d9e38/download, https://task-api.office.hiworks.com/v1/attached-files/68a40ecf61458034827d9e39/download"
삼성SDS,2025-08-01,,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/689013f3c9b2fb6e571aed9b/download, https://task-api.office.hiworks.com/v1/attached-files/689014111a9ced239ceeec2c/download"
마포구청 교육청소년과,2025-07-23,,취소,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6890141e352e056a74947bdc/download, https://task-api.office.hiworks.com/v1/attached-files/6890142c9b08585798b1af08/download"
마포구청 행정지원과,2025-07-23,,진행 완료,기획조정2팀,"문서인, 이서호",개인,,,
(주)샐러디,2025-08-04,2025-10-24,진행 완료,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6891c2731654c517668233b7/download, https://task-api.office.hiworks.com/v1/attached-files/6891c2731654c517668233b8/download"
솔루션,2025-08-04,,취소,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6892e40681c6ca48311af6a3/download, https://task-api.office.hiworks.com/v1/attached-files/6892e40681c6ca48311af6a4/download"
노드플랜,2025-08-04,,취소,기획조정2팀,문서인,카카오톡,,,https://task-api.office.hiworks.com/v1/attached-files/689302b31654c51766823ba3/download
(주)퍼널먼스,2025-08-04,2025-08-29,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689157069b08585798b1b8e9/download, https://task-api.office.hiworks.com/v1/attached-files/689c20e481c6ca48311b3413/download"
더웰컴,2025-08-06,,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/689302979d6e26422d8fc82c/download, https://task-api.office.hiworks.com/v1/attached-files/689302a09d6e26422d8fc830/download"
한국청소년상담복지개발원,2025-08-05,2025-08-29,진행 완료,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68959d160445bf3f63ec472c/download, https://task-api.office.hiworks.com/v1/attached-files/68ccfa30df0c9b7920a5aa26/download"
이데아인터렉티브,2025-08-05,2025-09-10,취소,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689329741654c51766823dd6/download, https://task-api.office.hiworks.com/v1/attached-files/689329741654c51766823dd7/download"
중랑구청(직원 워크숍),2025-08-05,2025-09-17,진행 완료,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/689a94e661458034827d4d7e/download, https://task-api.office.hiworks.com/v1/attached-files/689a94e661458034827d4d7f/download"
삼화에프앤에프(명랑운동회),2025-08-06,2025-10-02,취소,기획조정팀,안광열,홈페이지,,,
서울특별시립 장애인생산품판매시설,2025-08-06,2025-09-05,취소,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68942f809d6e26422d8fcfc8/download, https://task-api.office.hiworks.com/v1/attached-files/68942f809d6e26422d8fcfc9/download"
인천노동권익센터,,,취소,기획조정팀,"안광열, 이우진",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4ff9f0288a479476b37d3/download, https://task-api.office.hiworks.com/v1/attached-files/68b4ffa28a99514fc1136b62/download"
관세법인 한주,2025-08-07,2025-11-14,진행 완료,기획조정팀,안광열,홈페이지,,,
인커뮤니케이션코리아,2025-08-07,,취소,기획조정팀,안광열,홈페이지,,,
JA Korea,2025-08-07,,취소,기획조정2팀,문서인,홈페이지,,,
한국오션플랫폼,2025-08-07,,연기,기획조정팀,이서호,전화,,,
강화군청,2025-08-07,2025-09-26,진행 완료,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68bfdefb6e99c21525cfcabe/download, https://task-api.office.hiworks.com/v1/attached-files/68bfdf048c3900211fef06bb/download"
현대제철,2025-08-08,2025-09-23,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b652920288a479476b588c/download, https://task-api.office.hiworks.com/v1/attached-files/68b6541b1ed3e41f33d0596f/download"
경희대학원,2025-08-11,,취소,기획조정2팀,문서인,,,,"https://task-api.office.hiworks.com/v1/attached-files/68ad1fcb61458034827dde35/download, https://task-api.office.hiworks.com/v1/attached-files/68ad1fd13db9131a7ace87fb/download"
노량진청년일자리센터(화담숲),2025-08-11,2025-10-14,진행 완료,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b500298a99514fc1136b88/download, https://task-api.office.hiworks.com/v1/attached-files/68b5002c2a1b8b287233c85c/download"
안양시 인재육성재단,2025-08-11,,취소,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/689aed2418c6492801b1afe0/download, https://task-api.office.hiworks.com/v1/attached-files/689aed2418c6492801b1afe1/download"
kt cloud,2025-08-12,2025-09-25,진행 완료,기획조정2팀,문서인,개인,,,https://task-api.office.hiworks.com/v1/attached-files/68c8ae4b7208526ecadc725f/download
(주)씨유메디칼시스템(레고를 활용한 스트렝스),2025-07-22,2025-09-17,진행 완료,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/689ada967a600e0fa43241d4/download, https://task-api.office.hiworks.com/v1/attached-files/689ada967a600e0fa43241d5/download"
(주)씨유메디칼시스템(함께 만드는 조직 팀빌딩),2025-07-22,2025-09-10,진행 완료,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/689ada9c7a600e0fa43241e0/download, https://task-api.office.hiworks.com/v1/attached-files/689ada9c7a600e0fa43241e1/download"
(주)아티언스,2025-08-13,2025-09-05,진행 완료,기획조정1팀,조민채,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68a40f7c61458034827d9e4d/download, https://task-api.office.hiworks.com/v1/attached-files/68a40f7c61458034827d9e4e/download"
세아창원특수강(1차수),2025-07-25,2025-10-20,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689c258f81c6ca48311b3444/download, https://task-api.office.hiworks.com/v1/attached-files/689c258f81c6ca48311b3445/download"
세아창원특수강(3차수),2025-07-25,2025-11-03,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689c25df61458034827d5ac6/download, https://task-api.office.hiworks.com/v1/attached-files/689c25df61458034827d5ac7/download"
세아창원특수강(4차수),2025-07-25,2025-11-04,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689c25e261458034827d5ace/download, https://task-api.office.hiworks.com/v1/attached-files/689c25e261458034827d5acf/download"
세아창원특수강(5차수),2025-07-25,2025-11-05,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/689c25e50445bf3f63ec8321/download, https://task-api.office.hiworks.com/v1/attached-files/689c25e50445bf3f63ec8322/download"
마이파트너스,2025-08-13,,취소,기획조정팀,안광열,홈페이지,,,
LX판토스,2025-08-14,2025-09-19,취소,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68a3ff077a600e0fa4327301/download, https://task-api.office.hiworks.com/v1/attached-files/68a3ff077a600e0fa4327302/download"
국가보안연구소,2025-08-14,2025-09-19,진행 완료,기획조정1팀,이우진,전화,,,
동아일보,2025-08-14,2025-11-03,취소,기획조정1팀,이우진,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68a2ec1961458034827d96fb/download, https://task-api.office.hiworks.com/v1/attached-files/68a2ec1961458034827d96fc/download"
시스코코리아,2025-08-18,2025-09-18,취소,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b503c40288a479476b393e/download, https://task-api.office.hiworks.com/v1/attached-files/68b503c82a1b8b287233c9c0/download"
레드캡마이스,2025-08-18,2025-10-31,취소,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68a431bc81c6ca48311b5b61/download, https://task-api.office.hiworks.com/v1/attached-files/68a431bc81c6ca48311b5b62/download"
글로벌게임허브센터,2025-08-18,2025-09-10,취소,기획조정팀,안광열,카카오톡,,,
부여군시설관리공단,2025-08-18,,취소,기획조정팀,안광열,홈페이지,,,
광주광역정신건강복지센터,2025-08-19,2025-11-06,진행 완료,기획조정팀,안광열,개인,,,
KT&G IT실,2025-08-19,2025-09-26,연기,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68a4242d0445bf3f63ecafca/download, https://task-api.office.hiworks.com/v1/attached-files/68a4242d0445bf3f63ecafcb/download"
(주)씨유메디칼시스템(언어와품격),2025-07-31,2025-09-24,진행 완료,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68a57d1261458034827dac8d/download, https://task-api.office.hiworks.com/v1/attached-files/68a57d1261458034827dac8e/download"
제너럴바이오(주),2025-08-19,,취소,기획조정2팀,문서인,개인,,,
콘바텍코리아,2025-08-20,2025-09-26,진행 완료,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68a7bc0381c6ca48311b737f/download, https://task-api.office.hiworks.com/v1/attached-files/68c11f7c6e99c21525cfdf1e/download"
박혜영,2025-08-21,,취소,기획조정팀,안광열,홈페이지,,,
엠에스이씨엠,2025-08-21,,취소,기획조정2팀,문서인,홈페이지,,,
머크주식회사,2025-08-21,2025-09-11,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68a8186481c6ca48311b78db/download, https://task-api.office.hiworks.com/v1/attached-files/68a8186481c6ca48311b78dc/download"
(주)엠씨아이코리아,2025-08-22,,취소,기획조정팀,안광열,홈페이지,,,
미디어로그(손지민 담당자님),2025-08-25,2025-09-25,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b526232a1b8b287233d1b2/download, https://task-api.office.hiworks.com/v1/attached-files/68b526268a99514fc1137263/download"
더스테이힐링파크(뇌 디톡스 테라피),2025-08-25,2025-10-31,진행 완료,기획조정1팀,조민채,개인,,,https://task-api.office.hiworks.com/v1/attached-files/68db8ddecc84252da200d6cf/download
삼성전자 DS부문,2025-08-26,2025-09-02 15:00,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b531092a1b8b287233d415/download, https://task-api.office.hiworks.com/v1/attached-files/68b531168a99514fc1137489/download"
(주)노블디자인,2025-08-26,2025-09-04,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b526440288a479476b4011/download, https://task-api.office.hiworks.com/v1/attached-files/68b526462a1b8b287233d1b6/download"
TE Korea,2025-08-26,2025-09-19,취소,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68ae7d9a7a600e0fa432be1a/download, https://task-api.office.hiworks.com/v1/attached-files/68ae7d9a7a600e0fa432be1b/download"
강남구청 환경과,2025-08-22,,취소,기획조정팀,이서호,개인,,,
용산구의회(강화도 조직활성화 워크숍),2025-08-26,2025-09-29,진행 완료,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68b017ae7a600e0fa432d053/download, https://task-api.office.hiworks.com/v1/attached-files/68b017ae7a600e0fa432d054/download"
(주)세아엘앤에스,2025-08-27,2025-09-26 09:00,진행 완료,기획조정2팀,이영준,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4f90e55232b72044fb15f/download, https://task-api.office.hiworks.com/v1/attached-files/68b4f90e55232b72044fb160/download, https://task-api.office.hiworks.com/v1/attached-files/68b954e7919ff27206c419e0/download, https://task-api.office.hiworks.com/v1/attached-files/68b954e7919ff27206c419e1/download"
SK가스,2025-08-27,2025-09-19,진행 완료,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b0147e3db9131a7acea4e0/download, https://task-api.office.hiworks.com/v1/attached-files/68b0147e3db9131a7acea4e1/download"
용산구의회(직원 힐링교육),2025-08-27,2025-09-17,진행 완료,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68b01bd581c6ca48311ba682/download, https://task-api.office.hiworks.com/v1/attached-files/68b01bd581c6ca48311ba683/download"
힐스펫뉴트리션 코리아(유),2025-08-27,2025-12-17,진행 완료,기획조정팀,안광열,개인,,,
포스코 인재창조원,2025-08-28,,취소,기획조정1팀,조민채,전화,,,https://task-api.office.hiworks.com/v1/attached-files/68b01ca861458034827dfece/download
FedEx Korea(10/22),2025-08-28,2025-10-22,진행 완료,기획조정2팀,"이서호, 안광열",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b5014e2a1b8b287233c8fe/download, https://task-api.office.hiworks.com/v1/attached-files/68b5015b0288a479476b3865/download, https://task-api.office.hiworks.com/v1/attached-files/68c368582fd51e63fae51aa1/download, https://task-api.office.hiworks.com/v1/attached-files/68c368582fd51e63fae51aa2/download"
NEOIZE,2025-08-28,2025-12-04,진행 완료,기획조정팀,안광열,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4f9ae55232b72044fb177/download, https://task-api.office.hiworks.com/v1/attached-files/68b4f9ae55232b72044fb178/download"
MCI코리아,2025-08-28,2026-06-03,연기,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b505ed2a1b8b287233cad8/download, https://task-api.office.hiworks.com/v1/attached-files/68b505ed2a1b8b287233cad9/download"
삼성전자 Flash YE팀,2025-08-29,2025-10-16,진행 완료,기획조정2팀,"이서호, 변승민",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68c2956fabb0e0042860b043/download, https://task-api.office.hiworks.com/v1/attached-files/68c2956fabb0e0042860b044/download"
고대구로병원,2025-08-29,,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b5060e78e983554ec32434/download, https://task-api.office.hiworks.com/v1/attached-files/68b5060e78e983554ec32435/download"
대전창업보육협의회,2025-08-28,2025-09-18,진행 완료,기획조정1팀,이우진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4e5218a99514fc11365aa/download, https://task-api.office.hiworks.com/v1/attached-files/68b4e5218a99514fc11365ab/download"
HMM,2025-08-29,,취소,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4f95d55232b72044fb172/download, https://task-api.office.hiworks.com/v1/attached-files/68b4f95d55232b72044fb173/download"
미디어로그(조윤민 담당자님),2025-08-29,2025-10-17 00:00,진행 완료,기획조정2팀,이영준,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b15b2d1ed3e41f33d01f22/download, https://task-api.office.hiworks.com/v1/attached-files/68b15b2d1ed3e41f33d01f23/download, https://task-api.office.hiworks.com/v1/attached-files/68db1b1d78a8e35603bf16e1/download"
아이스크림미디어,2025-08-29,2025-11-27,진행 완료,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b4f93f55232b72044fb166/download, https://task-api.office.hiworks.com/v1/attached-files/68b4f93f55232b72044fb167/download"
한화63시티,2025-08-29,2025-10-31,취소,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b5634f0288a479476b4e59/download, https://task-api.office.hiworks.com/v1/attached-files/68b5634f0288a479476b4e5a/download"
(주)아이에프엠일렉트로닉,2025-09-01,2025-09-22,취소,기획조정팀,이서호,홈페이지,,,
코칭엔,2025-09-01,,취소,기획조정팀,이서호,전화,,,
한국교육시설안전원,2025-09-01,2025-09-19,취소,기획조정팀,안광열,홈페이지,,,
로뎀 세무법인,2025-09-01,2025-09-25,진행 완료,기획조정2팀,변승민,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b63e582535695973168558/download, https://task-api.office.hiworks.com/v1/attached-files/68c0e186abb0e00428608da2/download"
"노량진청년일자리센터(강화,포천)",2025-09-01,,취소,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b8dab42e9ca63fd9bbfb6f/download, https://task-api.office.hiworks.com/v1/attached-files/68b8dab42e9ca63fd9bbfb70/download"
광진복지재단,2025-09-02,2025-11-07,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68ed9825f6c1e546f2804678/download, https://task-api.office.hiworks.com/v1/attached-files/68ed9870dd6fd57862436619/download"
성신여자대학교 교수학습지원팀,2025-09-02,2025-10-02,진행 완료,기획조정2팀,문서인,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68b7e089abb0e00428601634/download, https://task-api.office.hiworks.com/v1/attached-files/68b7e08d919ff27206c3fefe/download"
한국산업기술진흥원,2025-09-02,2025-11-20,취소,기획조정2팀,이영준,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b9324fabb0e00428602ffe/download, https://task-api.office.hiworks.com/v1/attached-files/68b9324fabb0e00428602fff/download"
키너지랩,2025-09-03,2025-09-26,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b7d3c22e9ca63fd9bbebb0/download, https://task-api.office.hiworks.com/v1/attached-files/68b7d3c22e9ca63fd9bbebb1/download"
비모소프트,2025-09-03,2025-09-18,진행 완료,기획조정2팀,문서인,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68ba43e1170acf7dbc6f9689/download, https://task-api.office.hiworks.com/v1/attached-files/68ba43e4abb0e00428603f65/download"
고양시지역사회보장협의체,2025-09-03,2025-10-24,취소,기획조정1팀,이우진,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68bfde5b45a80f7ff834cc0e/download, https://task-api.office.hiworks.com/v1/attached-files/68bfde5b45a80f7ff834cc0f/download"
주식회사 아이스트로,2025-09-03,2025-11-07,진행 완료,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68d2378cab5ef40435ddc226/download, https://task-api.office.hiworks.com/v1/attached-files/69001a95dd6fd57862442c9b/download, https://task-api.office.hiworks.com/v1/attached-files/69001a9d06f3b9035afaf922/download"
블룸에너지,2025-09-03,2025-09-10,진행 완료,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b8f6032d613671ef97f39f/download, https://task-api.office.hiworks.com/v1/attached-files/68b8f6032d613671ef97f3a0/download"
과학기술인공제회,2025-09-03,,취소,기획조정2팀,조윤진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68ba73647208526ecadbd1d7/download, https://task-api.office.hiworks.com/v1/attached-files/68ba737ddebb966778969e2b/download, https://task-api.office.hiworks.com/v1/attached-files/68c3699e919ff27206c499f8/download, https://task-api.office.hiworks.com/v1/attached-files/68c369ab908ba659fe8ac23c/download"
(주)대학내일,2025-09-04,2025-10-25 00:30,취소,기획조정2팀,조윤진,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68ba9d06170acf7dbc6fa139/download, https://task-api.office.hiworks.com/v1/attached-files/68ba9d06170acf7dbc6fa13a/download"
온 의사소통 연구소,2025-09-04,2025-09-20,취소,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b958b87208526ecadbc07b/download, https://task-api.office.hiworks.com/v1/attached-files/68b958b87208526ecadbc07c/download"
(주)에스틴,2025-09-04,2025-09-19,진행 완료,기획조정1팀,변승민,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68c11f1e919ff27206c47bf7/download, https://task-api.office.hiworks.com/v1/attached-files/68c11f1e919ff27206c47bf8/download"
교원프라퍼티,2025-09-04,,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68b95b17abb0e00428603701/download, https://task-api.office.hiworks.com/v1/attached-files/68b95b20abb0e00428603704/download"
주식회사 에버홈,2025-09-04,2025-09-19,진행 완료,기획조정2팀,이영준,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68b9652d919ff27206c41b6c/download, https://task-api.office.hiworks.com/v1/attached-files/68b9652d919ff27206c41b6d/download"
신일전자,2025-09-05,2025-09-27,진행 완료,기획조정2팀,문서인,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68c76630b9214b7f322143c5/download, https://task-api.office.hiworks.com/v1/attached-files/68c766386e99c21525d016df/download"
대전관광공사,2025-09-05,2025-11-13,진행 완료,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68ca169e7208526ecadc8b13/download, https://task-api.office.hiworks.com/v1/attached-files/68ca169e7208526ecadc8b14/download"
솔라위즈,2025-09-05,2025-10-30,취소,기획조정2팀,이영준,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68bfb41d6e99c21525cfc33f/download, https://task-api.office.hiworks.com/v1/attached-files/68bfb41d6e99c21525cfc340/download, https://task-api.office.hiworks.com/v1/attached-files/68c2077eabb0e00428609f94/download, https://task-api.office.hiworks.com/v1/attached-files/68c2077eabb0e00428609f95/download"
에이케이아이에스(주),2025-09-08,2025-09-10,취소,기획조정1팀,이우진,홈페이지,,,
서울교통공사,2025-09-08,,연기,기획조정2팀,이영준,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68c79b3d6e99c21525d01ff3/download, https://task-api.office.hiworks.com/v1/attached-files/68c79b3d6e99c21525d01ff4/download"
